Time (s),Channel 1 (V)
0.003485577,-1.276899279
0.003491827,-1.530303335
0.003498077,-1.726487121
0.003504327,-1.865450636
0.003510577,-1.94719388
0.003516827,-1.922670907
0.003523077,-1.865450636
0.003529327,-1.759184419
0.003535577,-1.522129011
0.003541827,-1.244201982
0.003548077,-0.949926303
0.003554327,-0.622953327
0.003560577,-0.263283054
0.003566827,0.071864246
0.003573077,0.333442627
0.003579327,0.56232371
0.003585577,0.742158847
0.003591827,0.783030469
0.003598077,0.791204793
0.003604327,0.644066954
0.003610577,0.456057493
0.003616827,0.210827761
0.003623077,-0.083447917
0.003629327,-0.38589792
0.003635577,-0.663824949
0.003641827,-0.958100628
0.003648077,-1.146110089
0.003654327,-1.26055063
0.003660577,-1.325945226
0.003666827,-1.276899279
0.003673077,-1.146110089
0.003679327,-0.966274952
0.003685577,-0.671999274
0.003691827,-0.336851973
0.003698077,0.030992624
0.003704327,0.43153452
0.003710577,0.815727767
0.003716827,1.17539804
0.003723077,1.420627772
0.003729327,1.616811558
0.003735577,1.698554801
0.003741827,1.674031828
0.003748077,1.551416962
0.003754327,1.363407501
0.003760577,1.036434525
0.003766827,0.668589927
0.003773077,0.243525059
0.003779327,-0.206062783
0.003785577,-0.622953327
0.003791827,-0.99897225
0.003798077,-1.293247928
0.003804327,-1.563000633
0.003810577,-1.74283577
0.003816827,-1.865450636
0.003823077,-1.832753338
0.003829327,-1.767358743
0.003835577,-1.620220904
0.003841827,-1.415862794
0.003848077,-1.170633062
0.003854327,-0.909054681
0.003860577,-0.663824949
0.003866827,-0.394072244
0.003873077,-0.173365486
0.003879327,0.030992624
0.003885577,0.161781815
0.003891827,0.22717641
0.003898077,0.251699383
0.003904327,0.145433166
0.003910577,0.047341273
0.003916827,-0.091622242
0.003923077,-0.246934405
0.003929327,-0.402246569
0.003935577,-0.622953327
0.003941827,-0.761916842
0.003948077,-0.92540333
0.003954327,-1.05619252
0.003960577,-1.195156035
0.003966827,-1.219679008
0.003973077,-1.268724955
0.003979327,-1.276899279
0.003985577,-1.178807386
0.003991827,-1.105238467
0.003998077,-0.941751979
0.004004327,-0.753742518
0.004010577,-0.573907381
0.004016827,-0.38589792
0.004023077,-0.18153981
0.004029327,-0.001704673
0.004035577,0.194479112
0.004041827,0.30074533
0.004048077,0.390662898
0.004054327,0.407011547
0.004060577,0.415185871
0.004066827,0.390662898
0.004073077,0.251699383
0.004079327,0.15360749
